date,start,high,low,volume,close
1997-10-16,53613,53613,49771,184540,50218
1997-10-17,50218,51379,48252,131070,51111
1997-10-18,51379,51826,50486,37620,51379
1997-10-20,50664,51290,49145,124080,50039
1997-10-21,49145,51379,48430,132990,49860
1997-10-22,50664,53792,50039,120850,53792
1997-10-23,53792,54953,52362,114360,54953
1997-10-24,50664,52451,50575,212730,50575
1997-10-25,50486,50486,46554,146970,46554
1997-10-27,45660,46911,42890,233710,42890
1997-10-28,40299,40657,39495,213390,39495
1997-10-29,39763,42444,36636,450420,38691
1997-10-30,37529,38691,35742,373530,35742
1997-10-31,35742,35742,32883,425381,33866
1997-11-01,33955,36546,33866,323800,36546
1997-11-03,39138,39406,36814,863870,39406
1997-11-04,39763,42533,39763,478162,42533
1997-11-05,45928,45928,44767,738650,45928
1997-11-06,43158,45839,43158,628301,44946
1997-11-07,44678,44946,41371,875220,41371
1997-11-08,38065,40478,38065,320624,40478
1997-11-10,40478,43605,40478,376400,43516
1997-11-11,42890,44409,41193,314560,41818
1997-11-12,41550,41550,39584,304710,40210
1997-11-13,41103,41818,39942,273800,39942
1997-11-14,39942,39942,37976,304930,38780
1997-11-15,39763,39942,39316,244310,39763
1997-11-17,39763,40567,37529,230630,37708
1997-11-18,36636,38333,35831,367558,37797
1997-11-19,37797,38691,36636,365690,38423
1997-11-20,38780,38869,35563,489395,36904
1997-11-21,39852,39852,37976,550895,39852
1997-11-22,42444,42533,40657,473590,41103
1997-11-24,40925,40925,37887,393000,37887
1997-11-25,37261,39763,35742,437760,38423
1997-11-26,37976,39316,37618,275350,39048
1997-11-27,39048,39763,38333,220880,38423
1997-11-28,38423,38780,36189,210004,37440
1997-11-29,36636,38065,35921,134170,37797
1997-12-01,37529,38780,36904,137040,37082
1997-12-02,36189,36993,34134,328590,35474
1997-12-03,34402,37529,32704,641296,37440
1997-12-04,39227,40388,39227,431040,40388
1997-12-05,43605,43605,43605,133760,43605
1997-12-06,41103,44588,40120,566860,41103
1997-12-08,39316,40657,37887,373660,37887
1997-12-09,34938,36814,34938,387920,34938
1997-12-10,37708,37708,34938,862360,37708
1997-12-11,37708,39495,36189,1474630,37976
1997-12-12,37350,37350,34938,706850,36278
1997-12-13,33508,38959,33508,455050,38155
1997-12-15,35831,41193,35831,608170,41193
1997-12-16,43695,44231,39942,785250,41103
1997-12-17,41103,41908,39852,585420,40478
1997-12-19,37618,39763,37261,705280,37261
1997-12-20,37529,39227,35831,255040,37529
1997-12-22,37708,38780,36904,189200,36993
1997-12-23,36993,36993,34044,731790,34044
1997-12-24,33061,33419,31364,1144450,31364
1997-12-26,33866,33866,33866,87100,33866
1997-12-27,33866,34402,32257,594290,34312
1998-01-03,34585,36763,34585,238030,36763
1998-01-05,37671,39668,36945,641260,38851
1998-01-06,38851,39577,38579,409200,39214
1998-01-07,39214,41030,39214,456870,39940
1998-01-08,40031,42663,39305,558940,42210
1998-01-09,41574,42663,41030,606050,41937
1998-01-10,42663,45205,42210,355440,45205
1998-01-12,48291,48291,45841,554400,47111
1998-01-13,47111,47656,46022,538210,47021
1998-01-14,49835,50742,47928,865890,50742
1998-01-15,53466,54736,52649,465590,54736
1998-01-16,59093,59093,55372,1567730,59093
1998-01-17,59093,60818,57187,534260,59910
1998-01-19,63541,64631,61726,435010,64631
1998-01-20,69714,69714,67445,1571310,69714
1998-01-21,69442,69442,64177,1163080,65992
1998-01-22,65357,66265,60727,905730,60727
1998-01-23,61726,63178,60001,616720,63087
1998-01-24,64449,68080,63541,467950,68080
1998-01-26,68897,73436,68897,1244670,73073
1998-01-30,78882,78882,78065,700090,78882
1998-01-31,85145,85145,78882,871390,80788
1998-02-02,74797,77884,74343,675460,74434
1998-02-03,78065,78156,71802,666120,73617
1998-02-04,74434,75796,72165,497530,72619
1998-02-05,70803,72346,66809,485790,66809
1998-02-06,72074,72074,70349,1278060,72074
1998-02-07,72074,77611,71257,713950,76522
1998-02-09,76250,79790,75433,965819,79427
1998-02-10,79154,80698,73526,549720,74434
1998-02-11,74434,74434,69805,576190,73526
1998-02-12,72619,76159,70803,745520,75342
1998-02-13,76885,77067,73526,596350,74888
1998-02-14,73526,73890,68897,226076,69351
1998-02-16,69805,70803,67626,390959,69895
1998-02-17,70168,72528,69532,263986,71711
1998-02-18,72619,76159,72165,406600,74434
1998-02-19,74888,79881,74434,702640,77611
1998-02-20,78973,82604,78791,983270,81424
1998-02-21,78519,81696,78519,339537,80698
1998-02-23,81787,83511,79881,469253,79881
1998-02-24,80788,80788,77339,220920,78973
1998-02-25,78065,79881,74525,340690,75433
1998-02-26,78882,81424,76431,638701,79427
1998-02-27,83511,85781,81696,849513,85781
1998-02-28,90773,92589,89956,735349,92589
1998-03-02,92589,95312,89866,570328,91681
1998-03-03,91681,93950,86235,433236,88958
1998-03-04,87596,88958,83058,352964,87052
1998-03-05,81787,84419,78065,417260,79336
1998-03-06,78973,81696,75433,553200,78882
1998-03-07,79154,81242,79154,227900,80788
1998-03-09,80788,81605,75796,346480,76250
1998-03-10,75342,79881,73526,341291,79427
1998-03-11,77248,84238,77157,421720,80334
1998-03-12,80334,83330,79427,306558,80425
1998-03-13,80425,80425,75796,247920,78973
1998-03-14,76250,78973,76250,82450,77157
1998-03-16,77157,78882,77067,143731,77157
1998-03-17,76250,76703,73526,233223,74253
1998-03-18,73526,78973,72709,189260,74888
1998-03-19,74888,76613,74434,267530,74979
1998-03-20,74434,75614,74253,247310,74434
1998-03-21,73799,73799,71983,135180,72165
1998-03-23,72619,72619,69442,224810,69805
1998-03-24,69805,69805,68806,430100,68988
1998-03-25,68988,69895,68534,305340,69895
1998-03-26,69442,69442,67082,286220,68352
1998-03-27,68352,72437,66174,379830,71257
1998-03-28,70803,71620,68988,118382,68988
1998-03-30,68806,68806,67626,168490,67989
1998-03-31,68080,68988,66265,134574,66265
1998-04-01,66083,66083,62634,324320,62815
1998-04-02,62180,62180,57278,396725,57278
1998-04-03,55916,57006,53102,545890,54464
1998-04-04,53647,57187,53556,202157,55735
1998-04-06,55826,58821,54646,312720,57278
1998-04-07,57460,63087,57460,480900,62180
1998-04-08,62452,66083,61272,486243,64449
1998-04-09,67172,69442,65357,320136,67172
1998-04-10,66718,67082,64449,114180,65266
1998-04-11,65901,73073,65901,231981,73073
1998-04-13,72891,75705,71439,344060,72256
1998-04-14,71892,71892,65357,281250,66265
1998-04-15,64903,66355,63814,292720,65084
1998-04-16,65084,65084,60364,339630,62271
1998-04-17,62271,63360,61454,225160,62724
1998-04-18,64358,65084,61726,219894,61817
1998-04-20,62180,63451,61363,152470,63087
1998-04-21,63995,65901,62634,310010,64721
1998-04-22,64721,65720,63814,324140,64086
1998-04-23,63995,63995,61907,212640,63541
1998-04-24,63541,64449,61998,381180,61998
1998-04-25,62929,63301,61905,84100,61998
1998-04-27,62184,62743,60509,187010,60788
1998-04-28,60509,61719,59671,174220,60788
1998-04-29,62277,65629,60974,238910,64698
1998-04-30,65629,69352,65070,616240,68887
1998-05-02,67025,67956,64232,236600,64232
1998-05-04,63301,63767,61533,274250,61998
1998-05-06,60974,61998,60229,312220,60509
1998-05-07,60695,62277,60509,316361,61626
1998-05-08,60695,61626,60043,333190,60509
1998-05-09,60509,61253,60509,64040,60788
1998-05-11,60788,61067,59578,195520,59578
1998-05-12,59112,60043,57809,243650,58833
1998-05-13,58181,60974,57437,359030,60229
1998-05-14,60136,64419,59578,308030,61067
1998-05-15,61067,63208,60974,231700,61440
1998-05-16,59578,60509,59578,124980,60043
1998-05-18,60323,61347,58275,255210,58833
1998-05-19,58181,58554,55947,434310,56878
1998-05-20,57251,58088,56320,352676,56506
1998-05-21,56506,56971,53062,605730,53062
1998-05-22,51479,52131,50734,465530,51293
1998-05-23,52596,53434,51665,285990,51665
1998-05-25,48500,51014,45614,456620,45614
1998-05-26,43752,44683,41891,422200,42356
1998-05-27,46080,46080,41146,596090,43659
1998-05-28,43846,48872,43752,835549,48872
1998-05-29,48872,50362,48500,717510,49803
1998-05-30,49338,49338,46731,336920,46824
1998-06-01,46545,47197,44497,592491,45521
1998-06-02,44497,44497,41891,415922,41891
1998-06-03,42822,44776,42356,295514,44218
1998-06-05,44218,46266,44032,477115,45800
1998-06-08,47476,48407,44963,390975,44963
1998-06-09,44683,44683,41984,388820,42822
1998-06-10,43752,44032,39563,985847,40029
1998-06-11,39936,40494,38446,1098163,40215
1998-06-12,37702,38633,36771,655220,37236
1998-06-13,36026,38539,36026,381980,37236
1998-06-15,36491,37981,35374,287398,35374
1998-06-16,35374,37143,33978,485540,35467
1998-06-17,37050,39703,36585,878674,39703
1998-06-18,41891,44451,41425,1026804,44451
1998-06-19,44404,44683,40587,1039669,42356
1998-06-20,42961,43659,40960,287300,43287
1998-06-22,43752,43752,41425,421830,41518
1998-06-23,39750,40401,38167,474325,38260
1998-06-24,38260,38912,36771,705985,38400
1998-06-25,37236,38772,36771,281780,38726
1998-06-26,37702,39563,37702,302831,37702
1998-06-27,37888,39005,37841,140840,38446
1998-06-29,39098,39563,38260,330510,38260
1998-06-30,38260,40494,37795,373730,39563
1998-07-01,40215,44311,39843,719666,44311
1998-07-02,44404,46080,42822,869104,43473
1998-07-03,43473,44218,41984,398758,42449
1998-07-04,42449,43566,41984,177820,42263
1998-07-06,41425,43194,41425,220393,43147
1998-07-07,43613,46080,43473,390230,43752
1998-07-08,45242,45242,43380,237715,43752
1998-07-09,44218,44218,42822,244510,42822
1998-07-10,42822,43287,41192,309070,42077
1998-07-11,41425,42077,41239,193470,41425
1998-07-13,41518,43752,41332,674520,42542
1998-07-14,42822,43194,42170,186170,43101
1998-07-15,43380,44171,43008,416460,43101
1998-07-16,44683,48221,43566,750770,48221
1998-07-18,49152,53527,48872,727400,50641
1998-07-20,52131,56692,51293,892800,56692
1998-07-21,57716,58461,55296,762160,55668
1998-07-22,53992,55389,53527,858010,54086
1998-07-23,54830,55482,49338,711860,49338
1998-07-24,49338,50176,45428,864250,48035
1998-07-25,42356,46545,42356,860060,42356
1998-07-27,40494,42356,39563,918890,41425
1998-07-28,41891,42822,41053,491810,41891
1998-07-29,43287,46359,42915,767000,43147
1998-07-30,43147,44544,42356,397750,44358
1998-07-31,44683,45428,41798,460620,42356
1998-08-01,41425,42356,41053,221140,41891
1998-08-03,41891,42542,41053,243930,41146
1998-08-04,40681,42356,40541,275470,41891
1998-08-05,41891,42170,39563,422420,40308
1998-08-06,39377,41146,39284,272430,40308
1998-08-07,40494,42077,40494,392600,41611
1998-08-08,42356,42356,40774,170160,41053
1998-08-10,41239,41425,40169,265650,40169
1998-08-11,40169,41611,39377,424400,39377
1998-08-12,39098,39098,37981,485370,38772
1998-08-13,38726,39563,37702,514440,38167
